name,description,latitude,longitude,color
Tokyo Disney sea,「東京ディズニーシー」は、海にまつわる物語や伝説を、ディズニー伝統のファミリーエンターテイメントとしてご体験いただけるテーマパークです。 「東京ディズニーランド」に隣接し、東京湾に面した場所に位置する「東京ディズニーシー」は、冒険とロマンス、発見と楽しさにあふれる、イマジネーションに富んだ新しい世界です。,35.62669435,139.8850812,blue
Tokyo Disney land,日本初のディズニーテーマパーク。冒険や未来などをテーマに7つのテーマランドで構成される“夢と魔法の王国”です。,35.63288685,139.8803904,blue
ディズニーアンバサダーホテル,日本国内で初めてのディズニーホテル。館内や客室内にはディズニーキャラクターがさりげなくデザインされています。4つ星ホテル★★★★,35.63327435,139.887723,orange
ミラコスタ,東京ディズニーシーの玄関口に位置するパーク一体型ホテル。一部客室からはパークと東京湾の景観が楽しめます。5つ星ホテル★★★★★,35.62728782,139.8878318,orange
東京ディズニーランドホテル,国内で3番目のディズニーホテル。「ティンカー・ベル」などディズニー映画をテーマにデザインした客室もあります。5つ星ホテル★★★★★,35.63684131,139.8781764,orange
東京ディズニーセレブレーションホテル,東京ディズニーリゾートを訪れるゲストのための、手軽なリゾートステイを提供するホテルです。3つ星ホテル★★★,35.63809102,139.9293577,orange
トイ・ストーリーホテル,訪れたゲストが『トイ・ストーリー』シリーズのおもちゃの世界に入り込んだかのように感じられる遊び心のある工夫が散りばめられています。,35.62613333,139.8749921,orange
ボン・ヴォヤージュ,舞浜駅前に位置し、東京ディズニーランド、東京ディズニーシーの人気商品を販売するショップ。,35.63639131,139.8820069,white
ディズニーリゾートライン,東京ディズニーリゾート内を走るモノレール。ミッキーマウスの顔をモチーフにした、車窓やつり革が特徴。,35.62931959,139.8873813,green
イクスピアリ,140店舗のショップやレストラン、16スクリーンのシネマコンプレックスなどで構成される舞浜駅前の複合型商業施設。,35.63390862,139.8864343,white